Player;Team;Position;Age;Market value;Contract expires;Minutes played;Successful defensive actions per 90;Defensive duels per 90;Defensive duels won, %;Aerial duels won, %;PAdj Interceptions;Crosses from left flank per 90;Dribbles per 90;Successful dribbles, %;Passes per 90;Accurate passes, %;Short / medium passes per 90;Accurate short / medium passes, %;Accurate long passes, %;Passes to final third per 90;Accurate passes to final third, %;Progressive passes per 90;Accurate progressive passes, %
A. Roncaglia;Bastia;RCB, LCB;23;400000;2024-06-30;1945;10,04;6,57;65,49;42,68;6,56;0,14;0,79;76,47;40,67;82,48;33,32;90,14;49,34;5,92;61,72;9,39;70,44
O. Urhoghide;Amiens SC;RCB;23;700000;2025-05-31;1324;10,54;7,82;80,87;64,58;5,65;0;1,02;66,67;36,91;87,85;31,74;92,08;62,67;4,21;72,58;6,73;69,7
C. Vidal;Ajaccio;LCB;23;2000000;2025-06-30;1438;8,7;5,51;76,14;51,25;5,33;0;0,06;0;49,01;84,93;38,62;93,52;53,33;7,07;54,87;10,51;62,5
B. Pierret;Quevilly Rouen;LCMF, DMF, CB;23;800000;;2158;10,76;8,17;63,78;61,68;5,7;0,25;1,92;56,52;46,38;84,71;38,29;90,09;60;9,01;70,83;6,84;78,66
M. Mbow;Paris;LCB, RCB;24;750000;2025-06-30;2775;9,76;5,19;77,5;60,75;7,58;0;0,49;73,33;61,36;91,91;55,69;95,57;56,32;3,86;61,34;5,97;66,85
G. Jean;Annecy;LCB;24;800000;2026-06-30;2850;8,05;3,79;69,17;66,89;6,38;0,13;0,57;50;36,51;84,34;31,11;89,14;56,29;4,04;64,84;7,26;66,96
M. Bokele;Bordeaux;RCB, RB;24;1500000;2027-06-30;1541;10,1;4,44;73,68;50;9,64;0;0,99;64,71;51,75;85,55;44,62;91,36;51,61;5,61;63,54;8,7;77,18
T. Cissokho;Quevilly Rouen;LCB;24;900000;2024-06-30;2735;9,02;4,84;72,79;67,8;6,43;0,03;0,92;78,57;38,2;86,99;32,91;91,9;56,88;3,92;69,75;6,84;65,87
S. Raux-Yao;Rodez ;CB, LCB;24;0;2024-06-30;2746;9,96;4,72;72,92;56,88;7,52;0,13;0,69;80,95;38,41;85,49;31,04;92,08;57,73;6,06;65,41;9,14;76,34
M. Nadé;Saint-Étienne;LCB;25;1500000;2024-06-30;1295;8,48;6,19;70,79;66,67;5,26;0;0,63;55,56;45,66;91,32;41,21;95,11;56,25;3,96;66,67;5,49;65,82
I. Dramé;Bastia;CB, RCB, LCB;25;300000;2025-06-30;1326;11,13;7,4;70,64;43,64;6,11;0;1,02;33,33;32,38;91,19;30,81;94,05;34,78;3,05;68,89;3,6;64,15
Y. Bilingi;Dunkerque;RB, LB, RCB;25;350000;;2717;8,28;6,29;58,95;46,67;5,83;0,1;0,99;53,33;38,09;85,13;33,79;89,8;54,9;4,04;68,85;6,29;64,74
J. Ruiz;Pau;LCB;25;700000;;2466;9,27;5,77;60,76;55,68;6,82;0,18;0,4;54,55;50,84;84,92;42,12;91,16;55,6;6,61;59,12;9,93;70,96
B. Danger;Rodez ;CB, RCB, LCB;26;900000;2024-06-30;2686;8,85;5,73;68,42;55,7;5,84;0,1;1,41;50;42,32;84,09;32;92,46;57,68;6,94;62,32;9,38;76,79
Mamadou Fofana I;Amiens SC;LCB;26;2000000;2026-06-30;2372;8,73;5,43;69,23;50;5,97;0,04;0,23;66,67;43,86;88,93;37,64;93,75;59,51;3,95;59,62;6,37;67,86
M. Diarra;Grenoble;LCB;26;1000000;2025-06-30;2394;9,51;7,29;72,68;40;4,77;0,04;0,45;50;53,91;93,93;50,19;96,18;64,95;2,44;70,77;4,44;66,1
