Player;Team;Position;Age;Market value;Contract expires;Minutes played;Successful defensive actions per 90;Defensive duels per 90;Defensive duels won, %;Aerial duels won, %;Interceptions per 90;PAdj Interceptions;Successful attacking actions per 90;Accurate crosses from right flank, %;Crosses to goalie box per 90;Accelerations per 90;Passes per 90;Accurate passes, %;Accurate forward passes, %;Accurate short / medium passes, %;Accurate long passes, %;Accurate passes to final third, %;Accurate progressive passes, %
K. Boto;Pau;LB, RB, LWB;28;500000;2024-06-30;1847;6,87;5,94;55,74;40,48;3,56;4,03;1,56;31,25;0,15;0,88;37,96;76,64;66,88;85,31;49,38;64,56;64,6
F. Lajugie;Annecy;RB;28;700000;2024-06-30;2186;9,02;6,59;61,25;61,17;4,9;5,83;1,85;33,33;0,33;0,66;32,4;73,44;62,63;80,76;48,03;58,06;69,44
G. Paquiez;Grenoble;LB, RB;30;600000;2024-06-30;2238;11,54;8,85;62,27;32,88;5,75;7,01;0,76;17,65;0,12;0,32;44,48;83,36;78,73;87,77;60,17;73,28;71,69
B. Youssouf;Dunkerque;RB, RAMF;30;300000;;2399;6,34;4,8;64,84;21,43;3,08;3,89;2,4;29,67;0,41;0,53;31,59;73,99;67,13;83,64;51,72;60,19;68,89
V. Henry;Caen;RB;30;700000;;2173;9,24;8,99;59,45;46,15;3,44;4,26;3,73;50;0,58;0,66;51,56;81,45;72,91;89,41;59,15;66,99;80,52
V. N'Simba;Bordeaux;LB, LWB, RB;30;2000000;2024-06-30;1669;9,33;7,06;60,31;48,28;3,99;6,08;3,13;38,46;0,32;0,49;42,38;75,32;67,07;83,76;48,86;53,15;80,43
D. Appiah;Saint-Étienne;RB;31;1500000;2025-06-30;2651;11,41;9,64;68,66;47,5;4,31;5,5;1,83;26,09;0,2;0,65;42,88;78,78;71,64;86,94;39,69;59,66;74,27
S. Corchia;Amiens SC;RB;33;1200000;;2158;8,38;6,76;60,49;64,15;3,92;4,98;2,34;25,76;0,08;0,63;28,69;74,85;68,57;85,25;52,38;62,38;70,59
M. Youssouf;Ajaccio;RB;35;200000;;2222;11,22;7,09;67,43;54,55;5,47;7,13;2,07;30,36;0,2;0,28;38,32;80,66;73,01;88,49;58,9;67,33;70,67
J. Faussurier;Concarneau;RB;37;300000;;2271;7,77;5,31;58,21;29,63;4,48;6,16;2,97;47,17;0,28;0,28;53,54;82,46;78,61;90,64;55,21;63,83;75,89
