DateTime,SrcIP,SrcPort,DestIP,DestPort,BytesTotal,Msg,Malicious
1,206.189.201.63,36768,169.244.6.98,22,60,-,0
1,47.93.252.66,56762,169.244.6.98,22,60,-,0
1,206.189.201.63,36768,169.244.6.98,22,4241,-,0
1,47.93.252.66,56384,169.244.6.98,22,3715,-,0
1,47.93.252.66,56762,169.244.6.98,22,3859,-,0
1,47.93.252.66,36416,169.244.6.98,22,60,-,0
1,206.189.201.63,41038,169.244.6.98,22,60,-,0
1,206.189.201.63,41038,169.244.6.98,22,4281,-,0
1,206.189.141.16,42738,169.244.6.98,22,60,-,0
1,206.189.141.16,42738,169.244.6.98,22,4265,-,0
1,47.93.252.66,36416,169.244.6.98,22,3539,-,0
1,47.93.252.66,54574,169.244.6.98,22,60,-,0
1,47.93.252.66,54574,169.244.6.98,22,3755,-,0
1,47.93.252.66,34188,169.244.6.98,22,60,-,0
1,138.197.102.194,47136,169.244.6.98,22,60,-,0
1,47.93.252.66,34584,169.244.6.98,22,60,-,0
1,138.197.102.194,47136,169.244.6.98,22,4281,-,0
1,47.93.252.66,34188,169.244.6.98,22,3819,-,0
1,206.189.201.63,47734,169.244.6.98,22,60,-,0
1,206.189.201.63,47734,169.244.6.98,22,4281,-,0
1,47.93.252.66,34584,169.244.6.98,22,3755,-,0
1,47.93.252.66,39328,169.244.6.98,22,60,-,0
1,47.93.252.66,39328,169.244.6.98,22,3915,-,0
1,47.93.252.66,47238,169.244.6.98,22,60,-,0
1,95.181.239.4,61306,169.244.6.98,22,52,-,1
0,95.181.239.4,61306,169.244.6.98,22,52,-,1
0,47.93.252.66,47238,169.244.6.98,22,3795,-,0
0,47.93.252.66,47694,169.244.6.98,22,60,-,0
0,95.181.239.4,61306,169.244.6.98,22,4103,-,1
0,95.181.239.4,61306,169.244.6.98,22,4103,-,1
0,47.93.252.66,47694,169.244.6.98,22,3795,-,0
0,47.93.252.66,52414,169.244.6.98,22,60,-,0
0,206.189.201.63,52768,169.244.6.98,22,60,-,0
0,206.189.201.63,52768,169.244.6.98,22,4281,-,0
0,47.93.252.66,52806,169.244.6.98,22,60,-,0
0,47.93.252.66,52414,169.244.6.98,22,3755,-,0
0,47.93.252.66,52806,169.244.6.98,22,3896,-,0
0,47.93.252.66,60870,169.244.6.98,22,60,-,0
0,47.93.252.66,60870,169.244.6.98,22,3715,-,0
0,47.93.252.66,35936,169.244.6.98,22,60,-,0
0,206.189.141.16,55442,169.244.6.98,22,60,-,0
0,47.93.252.66,35936,169.244.6.98,22,3715,-,0
0,47.93.252.66,36322,169.244.6.98,22,60,-,0
0,206.189.201.63,47070,169.244.6.98,22,60,-,0
0,206.189.201.63,47070,169.244.6.98,22,4281,-,0
0,206.189.141.16,55442,169.244.6.98,22,4281,-,0
0,47.93.252.66,44154,169.244.6.98,22,60,-,0
0,47.93.252.66,36322,169.244.6.98,22,3715,-,0
0,47.93.252.66,47626,169.244.6.98,22,60,-,0
0,47.93.252.66,44154,169.244.6.98,22,3896,-,0
0,47.93.252.66,47626,169.244.6.98,22,3875,-,0
0,47.93.252.66,48060,169.244.6.98,22,60,-,0
